Año,Trimestre,Provincia,Accesos por cada 100 hogares (Provincia),Accesos por cada 100 hab (Provincia),Accesos por cada 100 hogares (Total),Accesos por cada 100 hab (Total)
2021,3,Jujuy,55.6892647441935,14.240381868424,70.5788534144302,21.9825500827064
2021,3,La Pampa,84.2799630965361,27.7678911910512,70.5788534144302,21.9825500827064
2021,3,La Rioja,77.2601606138685,20.5659645302194,70.5788534144302,21.9825500827064
2021,3,Mendoza,45.548284680561,12.710228113581,70.5788534144302,21.9825500827064
2021,3,Misiones,45.5706536580879,12.4117725813258,70.5788534144302,21.9825500827064
2021,3,Neuquén,69.7065334450161,20.7481620211386,70.5788534144302,21.9825500827064
2021,3,Río Negro,61.9672131147541,19.059250627465,70.5788534144302,21.9825500827064
2021,3,Salta,55.9642780595842,13.5535260221222,70.5788534144302,21.9825500827064
2021,3,San Juan,39.4554480019856,10.0502366420225,70.5788534144302,21.9825500827064
2021,3,San Luis,79.8704334921291,22.8574088187895,70.5788534144302,21.9825500827064
2021,3,Santa Cruz,43.7473202801201,13.0162543718839,70.5788534144302,21.9825500827064
2021,3,Santa Fe,75.0170476272823,23.5881524458178,70.5788534144302,21.9825500827064
2021,3,Santiago Del Estero,47.0,11.6607366908917,70.5788534144302,21.9825500827064
2021,3,Tierra Del Fuego,94.9538682598503,28.1501701128294,70.5788534144302,21.9825500827064
2021,3,Tucumán,54.636044861008,13.5334467757118,70.5788534144302,21.9825500827064
2021,2,Buenos Aires,70.0033033602797,23.352473727873,69.2401826919972,21.5479389275921
2021,2,Capital Federal,110.144402032121,45.4871904812949,69.2401826919972,21.5479389275921
2021,2,Catamarca,52.3403096626386,13.3137486714673,69.2401826919972,21.5479389275921
2021,2,Chaco,43.3276272929354,11.5800413405394,69.2401826919972,21.5479389275921
2021,2,Chubut,72.2941048193647,22.1597817714202,69.2401826919972,21.5479389275921
2021,2,Córdoba,80.1151879593124,24.5284062912537,69.2401826919972,21.5479389275921
2021,2,Corrientes,43.5411637336848,11.4650645801296,69.2401826919972,21.5479389275921
2021,2,Entre Ríos,61.6602644647879,18.4356806329179,69.2401826919972,21.5479389275921
2021,2,Formosa,33.2254841932261,8.45629304957047,69.2401826919972,21.5479389275921
2021,2,Jujuy,56.1821570114677,14.3667840692187,69.2401826919972,21.5479389275921
2021,2,La Pampa,82.080006723254,27.0435584401919,69.2401826919972,21.5479389275921
2021,2,La Rioja,76.9786615851933,20.4915850957506,69.2401826919972,21.5479389275921
2021,2,Mendoza,40.9732418261709,11.4338470668006,69.2401826919972,21.5479389275921
2021,2,Misiones,45.0128113119994,12.2601465948529,69.2401826919972,21.5479389275921
2021,2,Neuquén,69.1402108463862,20.5802361256459,69.2401826919972,21.5479389275921
2021,2,Río Negro,61.9420405741775,19.0520518601284,69.2401826919972,21.5479389275921
2021,2,Salta,54.9300901747889,13.3034413913845,69.2401826919972,21.5479389275921
2021,2,San Juan,39.2840257006206,10.0067190669371,69.2401826919972,21.5479389275921
2021,2,San Luis,83.4781072006307,23.8905552767436,69.2401826919972,21.5479389275921
2021,2,Santa Cruz,44.0149166554342,13.096756425785,69.2401826919972,21.5479389275921
2021,2,Santa Fe,75.0687862629301,23.6047874530137,69.2401826919972,21.5479389275921
2021,2,Santiago Del Estero,46.5572753649211,11.5543888752169,69.2401826919972,21.5479389275921
2021,2,Tierra Del Fuego,67.8858077522918,20.1266479457771,69.2401826919972,21.5479389275921
2021,2,Tucumán,54.928196510348,13.606163819728,69.2401826919972,21.5479389275921
2021,1,Buenos Aires,69.1052407618594,22.998353975762,67.9458763888521,21.1278318121601
2021,1,Capital Federal,108.419939223293,44.8269901646418,67.9458763888521,21.1278318121601
2021,1,Catamarca,48.8990929278482,12.4382789182565,67.9458763888521,21.1278318121601
2021,1,Chaco,43.1364924170879,11.5288964774878,67.9458763888521,21.1278318121601
2021,1,Chubut,68.9942808881567,21.1478383150763,67.9458763888521,21.1278318121601
2021,1,Córdoba,78.5902806238002,24.0613716456615,67.9458763888521,21.1278318121601
2021,1,Corrientes,42.6641284388214,11.2341158695361,67.9458763888521,21.1278318121601
2021,1,Entre Ríos,60.4394497283423,18.0705817215044,67.9458763888521,21.1278318121601
2021,1,Formosa,32.7329557563272,8.33089528442991,67.9458763888521,21.1278318121601
2021,1,Jujuy,55.6324478962054,14.2260459665007,67.9458763888521,21.1278318121601
2021,1,La Pampa,81.7767634575221,26.943299898725,67.9458763888521,21.1278318121601
2021,1,La Rioja,49.8069351907935,13.2583601634496,67.9458763888521,21.1278318121601
2021,1,Mendoza,39.1536615289964,10.9260024514795,67.9458763888521,21.1278318121601
2021,1,Misiones,43.1724389059718,11.7588116112233,67.9458763888521,21.1278318121601
2021,1,Neuquén,66.8420894204527,19.895917331183,67.9458763888521,21.1278318121601
2021,1,Río Negro,60.8792403032577,18.7249056578747,67.9458763888521,21.1278318121601
2021,1,Salta,53.9300192633909,13.0611284262362,67.9458763888521,21.1278318121601
2021,1,San Juan,39.0551943353576,9.94836869480331,67.9458763888521,21.1278318121601
2021,1,San Luis,81.2373017712751,23.248835158317,67.9458763888521,21.1278318121601
2021,1,Santa Cruz,41.6478310399074,12.3918254034438,67.9458763888521,21.1278318121601
2021,1,Santa Fe,73.9165640702618,23.2423821861305,67.9458763888521,21.1278318121601
2021,1,Santiago Del Estero,45.6730828236546,11.3348711690326,67.9458763888521,21.1278318121601
2021,1,Tierra Del Fuego,77.3493560917737,22.9312154304354,67.9458763888521,21.1278318121601
2021,1,Tucumán,54.8189225412539,13.5789638246782,67.9458763888521,21.1278318121601
2020,4,Buenos Aires,68.9770222017074,22.9015115325469,67.6223386615562,21.0101917482845
2020,4,Capital Federal,108.311074890435,44.8339684267828,67.6223386615562,21.0101917482845
2020,4,Catamarca,49.4068835454974,12.5674593085451,67.6223386615562,21.0101917482845
2020,4,Chaco,43.0307886497791,11.5006461780409,67.6223386615562,21.0101917482845
2020,4,Chubut,68.3518991582562,20.9508711746216,67.6223386615562,21.0101917482845
2020,4,Córdoba,78.0796087633819,23.904978675681,67.6223386615562,21.0101917482845
2020,4,Corrientes,42.428283946949,11.1720027347886,67.6223386615562,21.0101917482845
2020,4,Entre Ríos,59.4743067609738,17.7819708307277,67.6223386615562,21.0101917482845
2020,4,Formosa,32.4873819075967,8.26839085381519,67.6223386615562,21.0101917482845
2020,4,Jujuy,53.4565912339089,13.6696231171354,67.6223386615562,21.0101917482845
2020,4,La Pampa,81.7679324894515,26.9404221718048,67.6223386615562,21.0101917482845
2020,4,La Rioja,50.1106121170115,13.3391295117309,67.6223386615562,21.0101917482845
2020,4,Mendoza,38.6295789622782,10.7797538577923,67.6223386615562,21.0101917482845
2020,4,Misiones,42.6441141611923,11.6148987925828,67.6223386615562,21.0101917482845
2020,4,Neuquén,67.0023452204809,19.9435555508951,67.6223386615562,21.0101917482845
2020,4,Río Negro,61.0886154804548,18.7893190551718,67.6223386615562,21.0101917482845
2020,4,Salta,54.0427520014766,13.0883890574111,67.6223386615562,21.0101917482845
2020,4,San Juan,36.3208821557581,9.25185812016353,67.6223386615562,21.0101917482845
2020,4,San Luis,81.679478061057,23.3753143684741,67.6223386615562,21.0101917482845
2020,4,Santa Cruz,36.999572459088,11.0086826606617,67.6223386615562,21.0101917482845
2020,4,Santa Fe,73.5807380726778,23.1367697431769,67.6223386615562,21.0101917482845
2020,4,Santiago Del Estero,43.7492566206899,10.8574371648052,67.6223386615562,21.0101917482845
2020,4,Tierra Del Fuego,76.265834969774,22.6095691431376,67.6223386615562,21.0101917482845
2020,4,Tucumán,54.7834044136996,13.5701698084289,67.6223386615562,21.0101917482845
2020,3,Buenos Aires,67.6561898309092,22.4100880534403,66.31,20.59
2020,3,Capital Federal,107.675901165732,44.6227428971926,66.31,20.59
2020,3,Catamarca,47.157098984172,11.9952888012884,66.31,20.59
2020,3,Chaco,41.5419205780652,11.1027673619054,66.31,20.59
2020,3,Chubut,68.3438981572004,20.9487153048533,66.31,20.59
2020,3,Córdoba,75.2203572366921,23.0297083535099,66.31,20.59
2020,3,Corrientes,41.7507494704644,10.9936136166816,66.31,20.59
2020,3,Entre Ríos,58.1901640924315,17.3981108790514,66.31,20.59
2020,3,Formosa,31.9056233101865,8.12033722939222,66.31,20.59
2020,3,Jujuy,54.0444192382091,13.8200370336799,66.31,20.59
2020,3,La Pampa,79.2644770667028,26.115702018823,66.31,20.59
2020,3,La Rioja,50.1181132363027,13.3413120207716,66.31,20.59
2020,3,Mendoza,37.3486331372327,10.4223554880532,66.31,20.59
2020,3,Misiones,41.6044862854486,11.3317985370104,66.31,20.59
2020,3,Neuquén,65.2441702553022,19.4204592926977,66.31,20.59
2020,3,Río Negro,57.052405915845,17.54802558517,66.31,20.59
2020,3,Salta,52.315712128488,12.6702393071254,66.31,20.59
2020,3,San Juan,38.7899552541285,9.88083251128296,66.31,20.59
2020,3,San Luis,79.9617220941719,22.8839263803681,66.31,20.59
2020,3,Santa Cruz,35.9515289078445,10.6972070325265,66.31,20.59
2020,3,Santa Fe,72.1206024734824,22.6777105226816,66.31,20.59
2020,3,Santiago Del Estero,43.3759313169191,10.7648413009404,66.31,20.59
2020,3,Tierra Del Fuego,76.809095839467,22.7715153638102,66.31,20.59
2020,3,Tucumán,53.2281495112899,13.1849907035556,66.31,20.59
2020,2,Buenos Aires,65.2205801358229,21.5528584048363,64.2100028766699,19.918402765295
2020,2,Capital Federal,106.414805990736,44.151826868205,64.2100028766699,19.918402765295
2020,2,Catamarca,45.4318181818182,11.5566668352857,64.2100028766699,19.918402765295
2020,2,Chaco,39.8325027900658,10.6461982789206,64.2100028766699,19.918402765295
2020,2,Chubut,57.3446133872355,17.5779234120481,64.2100028766699,19.918402765295
